"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE724A01017","507912","LKPFIN","LKP FINANCE LIMITED","209.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE344X01016","540681","CHOTHANI","CHOTHANI FOODS LIMITED","32.93","",,"0.01","5000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE706N01017","507917","EASTBUILD","EAST BUILDTECH LTD","24.05","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE172E01011","540686","SMRUTHIORG","SMRUTHI ORGANICS LIMITED","160.2","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE674K01013","540691","ABCAPITAL","ADITYA BIRLA CAPITAL LTD","191.95","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE346W01013","540692","APEX","APEX FROZEN FOODS LIMITED","217.85","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE145Y01015","540693","SHISHIND","SHISH INDUSTRIES LIMITED","119.95","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE236W01016","540694","ANG","ANG LIFESCIENCES INDIA LIMITED","60.27","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE185U01035","540696","KCDGROUP","KCD INDUSTRIES INDIA LIMITED","12.36","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE935N01020","540699","DIXON","DIXON TECHNOLOGIES INDIA LIM","7057.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE727S01012","540700","BRNL","BHARAT ROAD NETWORK LIMITED","71.44","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE385W01011","540701","DCAL","DISHMAN CARBOGEN AMCIS LIMITED","259.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE670X01014","540702","LASA","LASA SUPERGENERICS LIMITED","28.26","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE438C01010","540703","PROCLB","PRO CLB GLOBAL LIMITED","8.25","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE866R01028","540704","MATRIMONY","MATRIMONYCOM LIMITED","525.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA16B2","543408","SFMP55GD","SBI MUTUAL FUND","10.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE798E01013","507938","MNPLFIN","MANIPAL FINANCE CORPORATION LT","5.69","",,"0.01","100","EQUITY",,"BSE_EQ"
"BSE_EQ|INE217K01011","540709","RHFL","RELIANCE HOME FINANCE LIMITED","3.21","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE264T01014","540710","CAPACITE","CAPACITE INFRAPROJECTS LIMITE","268.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE704G01024","507944","BAJAJST","BAJAJ STEEL INDUSTRIES LTD","1210.7","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE845A01010","507946","KIDUJA","KIDUJA INDIA LTD","279.0","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE146Y01013","540715","SAGAR","SAGAR DIAMONDS LIMITED","30.95","",,"0.01","3000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE130F01016","507948","KEYCORP","KEY CORP LTD","91.39","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE689M01025","540717","PQIF","POLO QUEEN INDUSTRIAL AND FINT","44.15","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE777X01017","540718","AKM","AKM CREATIONS LIMITED","84.0","",,"0.01","3000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE123W01016","540719","SBILIFE","SBI LIFE INSURANCE COMPANY LIM","1490.25","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE02BV01019","507952","SHIKHARLETR","SHIKHAR LEASING  TRADING LTD","3.15","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE393P01035","540724","DIAMONDYD","PRATAAP SNACKS LIMITED","1027.85","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE932X01018","540725","SHAREINDIA","SHARE INDIA SECURITIES LIMITED","1893.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE071Y01013","540726","TTFL","TRIDENT TEXOFAB LIMITED","54.96","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE973X01012","540727","POOJA","POOJAWESTERN METALIKS LIMITED","47.48","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE621C01011","507960","GUJHOTE","GUJARAT HOTELS LTD","186.8","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE695X01011","540729","VANTABIO","VANTA BIOSCIENCE LIMITED","90.05","",,"0.05","750","EQUITY",,"BSE_EQ"
"BSE_EQ|INE040A08930","974858","765HDFCB33","HDFCB76525533PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE651D01016","507966","RASRESOR","RAS RESORTS  APART HOTELS LTD","43.86","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE864K01010","540735","IRIS","IRIS BUSINESS SERVICES LIMITED","128.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE414Y01015","540737","SGRL","SHREE GANESH REMEDIES LIMITED","685.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE143I01013","507970","PARMCOS-B","PARAMOUNT COSMETICS INDIA LT","41.9","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE850D01014","540743","GODREJAGRO","GODREJ AGROVET LIMITED","516.05","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE726D01016","507981","JINDHOT","JINDAL HOTELS LTD","65.38","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE022Q01020","540750","IEX","INDIAN ENERGY EXCHANGE LIMITED","149.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE990E01016","507987","JPTRLES","JUPITER INDUSTRIES  LEASING L","3.45","",,"0.01","100","EQUITY",,"BSE_EQ"
"BSE_EQ|INE501Y01019","540757","SCPL","SHEETAL COOL PRODUCTS LIMITED","402.9","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE974X01010","540762","TIINDIA","TUBE INVESTMENTS OF INDIA LTD","3565.05","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE657D01021","507998","SIMMOND","SIMMONDS MARSHALL LTD","73.72","",,"0.01","1","EQUITY",,"BSE_EQ"
